Vardas                Pavardė             ND1             ND2             ND3             ND4             ND5             ND6             ND7             ND8             ND9             ND10           Egz.
Vardas478            Pavarde478            9              9              1              5              5              5              7              5              6              10             1              
Vardas479            Pavarde479            9              1              9              0              8              8              0              0              2              9              9              
Vardas480            Pavarde480            9              6              5              9              7              6              1              2              3              9              10             
Vardas481            Pavarde481            4              8              2              8              6              3              3              10             1              10             0              
Vardas482            Pavarde482            5              2              1              1              1              4              0              8              6              0              9              
Vardas483            Pavarde483            3              8              6              6              4              4              6              2              4              5              7              
Vardas484            Pavarde484            0              7              2              0              10             10             0              1              9              4              5              
Vardas485            Pavarde485            10             0              3              4              8              7              9              0              6              3              4              
Vardas486            Pavarde486            8              9              3              4              1              1              10             2              9              4              1              
Vardas487            Pavarde487            0              0              8              5              3              9              4              3              5              10             3              
Vardas488            Pavarde488            7              2              10             8              2              2              2              10             6              8              4              
Vardas489            Pavarde489            8              10             10             5              6              9              10             5              9              9              9              
Vardas490            Pavarde490            9              6              8              5              3              1              1              8              1              1              10             
Vardas491            Pavarde491            10             7              8              7              1              5              5              5              9              0              3              
Vardas492            Pavarde492            1              4              6              2              10             5              1              7              1              9              5              
Vardas493            Pavarde493            0              5              7              1              9              6              9              3              5              9              5              
Vardas494            Pavarde494            1              7              0              7              4              5              5              3              4              9              6              
Vardas495            Pavarde495            7              2              6              3              6              4              4              8              7              9              3              
Vardas496            Pavarde496            3              5              6              9              2              2              9              0              7              9              8              
Vardas497            Pavarde497            4              6              2              8              7              0              3              3              7              8              0              
Vardas498            Pavarde498            1              6              1              8              8              0              4              9              10             9              1              
Vardas499            Pavarde499            8              0              7              7              3              6              5              8              3              4              8              
Vardas500            Pavarde500            0              2              9              10             1              10             0              1              0              1              6              
Vardas501            Pavarde501            5              5              3              1              0              4              2              2              7              5              6              
Vardas502            Pavarde502            9              3              10             4              7              8              3              5              1              4              7              
Vardas503            Pavarde503            10             3              10             0              10             4              8              3              2              6              3              
Vardas504            Pavarde504            4              0              9              7              7              3              1              3              5              5              1              
Vardas505            Pavarde505            4              2              0              7              5              0              8              0              4              6              5              
Vardas506            Pavarde506            5              4              5              5              4              8              6              8              8              9              1              
Vardas507            Pavarde507            3              0              5              2              1              9              6              6              8              3              6              
Vardas508            Pavarde508            8              4              4              5              2              8              6              6              5              4              8              
Vardas509            Pavarde509            2              10             5              6              2              3              2              5              2              1              2              
Vardas510            Pavarde510            9              3              6              0              1              1              1              7              8              0              6              
Vardas511            Pavarde511            7              3              5              7              10             5              5              4              0              5              4              
Vardas512            Pavarde512            7              9              7              5              10             5              9              10             3              10             9              
Vardas513            Pavarde513            4              3              1              1              3              10             7              3              3              1              6              
Vardas514            Pavarde514            2              3              3              0              3              7              1              4              1              5              3              
Vardas515            Pavarde515            3              6              7              7              5              6              2              5              8              3              4              
Vardas516            Pavarde516            9              4              10             8              4              0              4              6              7              1              6              
Vardas517            Pavarde517            2              4              1              5              0              9              9              4              3              9              7              
Vardas518            Pavarde518            8              7              5              5              4              2              3              4              7              10             7              
Vardas519            Pavarde519            10             8              4              10             9              2              6              4              5              0              9              
Vardas520            Pavarde520            3              2              9              5              3              9              0              0              1              0              4              
Vardas521            Pavarde521            10             8              6              10             0              0              4              1              9              8              1              
Vardas522            Pavarde522            2              8              9              10             4              1              0              1              0              8              5              
Vardas523            Pavarde523            5              2              4              4              4              10             9              6              7              10             1              
Vardas524            Pavarde524            8              1              3              4              3              10             5              9              4              2              2              
Vardas525            Pavarde525            1              9              7              4              7              0              10             0              9              10             10             
Vardas526            Pavarde526            9              2              6              0              5              0              9              4              3              0              10             
Vardas527            Pavarde527            6              4              3              1              7              7              7              0              3              2              2              
Vardas528            Pavarde528            0              3              8              3              5              9              1              3              5              5              0              
Vardas529            Pavarde529            7              8              10             7              9              6              4              10             8              0              7              
Vardas530            Pavarde530            3              3              9              9              6              10             2              7              1              2              5              
Vardas531            Pavarde531            6              9              7              2              1              6              9              10             2              7              9              
Vardas532            Pavarde532            7              7              6              6              2              3              7              0              8              6              1              
Vardas533            Pavarde533            5              1              0              5              7              9              9              6              8              6              7              
Vardas534            Pavarde534            3              3              2              0              6              4              0              9              1              3              0              
Vardas535            Pavarde535            3              1              1              3              0              8              4              8              0              8              1              
Vardas536            Pavarde536            10             1              1              3              6              1              1              7              9              4              2              
Vardas537            Pavarde537            8              4              2              0              7              10             8              0              9              10             7              
Vardas538            Pavarde538            4              2              6              10             4              6              9              8              9              2              10             
Vardas539            Pavarde539            0              5              5              10             5              8              1              8              5              5              8              
Vardas540            Pavarde540            0              7              7              10             9              2              7              0              0              10             10             
Vardas541            Pavarde541            7              7              2              2              0              5              1              5              10             9              10             
Vardas542            Pavarde542            9              10             5              0              9              5              9              7              4              1              8              
Vardas543            Pavarde543            4              2              3              10             4              4              9              6              6              3              1              
Vardas544            Pavarde544            0              2              0              4              10             9              1              6              8              2              8              
Vardas545            Pavarde545            4              5              9              1              6              3              6              1              9              0              2              
Vardas546            Pavarde546            3              2              9              8              3              4              3              7              0              9              1              
Vardas547            Pavarde547            6              5              8              5              9              4              9              3              5              1              5              
Vardas548            Pavarde548            5              0              6              3              5              2              6              9              9              6              6              
Vardas549            Pavarde549            0              6              1              4              8              1              7              9              4              0              0              
Vardas550            Pavarde550            7              10             3              10             2              0              0              0              0              8              5              
Vardas551            Pavarde551            3              8              9              3              3              9              9              7              4              3              10             
Vardas552            Pavarde552            2              2              0              2              7              9              1              4              9              1              8              
Vardas553            Pavarde553            3              0              2              8              7              2              1              7              6              6              3              
Vardas554            Pavarde554            7              2              7              10             5              8              10             9              10             6              7              
Vardas555            Pavarde555            6              9              5              1              9              0              1              0              9              7              2              
Vardas556            Pavarde556            7              0              1              7              9              7              10             9              10             10             5              
Vardas557            Pavarde557            10             6              2              1              9              0              1              1              9              9              0              
Vardas558            Pavarde558            9              8              4              6              1              6              5              10             3              6              2              
Vardas559            Pavarde559            5              2              7              0              8              4              1              7              6              3              2              
Vardas560            Pavarde560            4              7              4              4              9              1              3              1              1              9              5              
Vardas561            Pavarde561            10             4              6              8              5              10             2              5              0              2              4              
Vardas562            Pavarde562            1              8              6              4              4              5              6              6              9              10             7              
Vardas563            Pavarde563            6              2              4              4              6              10             8              1              9              6              6              
Vardas564            Pavarde564            9              1              6              5              2              9              3              9              5              7              7              
Vardas565            Pavarde565            3              3              4              7              1              7              1              5              9              8              9              
Vardas566            Pavarde566            4              3              1              7              3              10             7              10             6              8              0              
Vardas567            Pavarde567            10             0              9              8              4              9              7              3              1              4              10             
Vardas568            Pavarde568            4              9              7              3              10             4              0              3              4              2              6              
Vardas569            Pavarde569            0              8              0              1              0              8              8              7              3              2              1              
Vardas570            Pavarde570            5              4              5              8              9              6              4              1              7              0              3              
Vardas571            Pavarde571            4              5              4              4              4              7              1              5              8              3              7              
Vardas572            Pavarde572            6              9              8              7              2              8              0              7              0              0              1              
Vardas573            Pavarde573            5              5              5              0              7              5              6              0              1              0              3              
Vardas574            Pavarde574            8              9              4              1              8              6              5              9              10             2              0              
Vardas575            Pavarde575            6              6              5              3              9              6              1              5              5              8              1              
Vardas576            Pavarde576            5              3              2              7              1              0              5              7              8              0              1              
Vardas577            Pavarde577            1              1              2              10             2              0              6              9              6              0              1              
Vardas578            Pavarde578            10             2              5              9              4              3              6              8              3              8              3              
Vardas579            Pavarde579            3              8              9              2              6              3              5              10             5              3              8              
Vardas580            Pavarde580            9              10             4              2              4              6              1              1              1              10             8              
Vardas581            Pavarde581            7              10             10             10             1              6              9              9              1              1              2              
Vardas582            Pavarde582            3              9              8              10             0              5              8              10             7              8              4              
Vardas583            Pavarde583            10             6              10             7              8              7              2              3              1              6              8              
Vardas584            Pavarde584            4              1              3              3              10             9              6              0              7              9              3              
Vardas585            Pavarde585            7              3              5              1              9              3              6              8              0              4              1              
Vardas586            Pavarde586            2              8              7              0              10             0              6              4              7              8              2              
Vardas587            Pavarde587            8              8              0              0              8              8              3              0              10             6              7              
Vardas588            Pavarde588            10             6              10             4              0              10             3              10             1              8              5              
Vardas589            Pavarde589            6              7              8              10             9              0              8              1              9              8              9              
Vardas590            Pavarde590            7              7              7              2              9              0              9              8              3              7              8              
Vardas591            Pavarde591            6              10             1              9              10             0              4              4              10             7              10             
Vardas592            Pavarde592            0              9              8              10             0              8              4              5              1              3              9              
Vardas593            Pavarde593            1              6              2              7              8              0              0              8              1              2              1              
Vardas594            Pavarde594            5              6              1              9              0              8              1              8              2              0              4              
Vardas595            Pavarde595            3              10             4              5              10             3              7              9              3              5              8              
Vardas596            Pavarde596            8              6              3              5              3              7              3              0              7              7              2              
Vardas597            Pavarde597            2              0              8              2              4              2              10             4              6              2              3              
Vardas598            Pavarde598            0              5              4              3              0              0              8              4              0              8              6              
Vardas599            Pavarde599            10             10             8              3              3              3              1              3              1              7              8              
Vardas600            Pavarde600            3              7              3              0              10             2              5              0              0              4              1              
Vardas601            Pavarde601            9              7              1              6              0              5              5              4              0              1              3              
Vardas602            Pavarde602            8              9              2              0              4              4              6              9              7              0              7              
Vardas603            Pavarde603            5              6              8              3              10             2              2              9              9              5              0              
Vardas604            Pavarde604            10             8              10             1              0              6              3              7              2              9              8              
Vardas605            Pavarde605            9              5              4              2              9              10             10             2              4              8              6              
Vardas606            Pavarde606            1              10             1              3              6              4              7              4              1              1              10             
Vardas607            Pavarde607            10             4              7              9              10             1              1              5              1              1              4              
Vardas608            Pavarde608            2              6              10             1              8              0              9              5              6              4              7              
Vardas609            Pavarde609            5              5              3              8              6              4              4              1              7              7              2              
Vardas610            Pavarde610            8              6              6              9              7              5              7              9              9              10             10             
Vardas611            Pavarde611            9              5              8              6              1              6              5              5              2              6              4              
Vardas612            Pavarde612            6              3              9              9              4              6              9              0              8              10             9              
Vardas613            Pavarde613            8              2              7              3              4              0              0              6              8              7              0              
Vardas614            Pavarde614            8              7              3              2              3              1              5              2              7              4              8              
Vardas615            Pavarde615            0              4              9              1              6              10             1              1              6              1              1              
Vardas616            Pavarde616            6              10             7              6              3              4              0              2              8              8              0              
Vardas617            Pavarde617            5              6              4              6              4              3              4              10             9              6              4              
Vardas618            Pavarde618            8              6              5              7              7              3              3              0              5              0              8              
Vardas619            Pavarde619            2              7              8              7              9              3              3              9              7              1              4              
Vardas620            Pavarde620            7              8              10             1              4              9              7              8              1              3              0              
Vardas621            Pavarde621            6              6              6              3              9              0              8              1              2              7              10             
Vardas622            Pavarde622            5              2              7              0              6              8              7              7              3              6              1              
Vardas623            Pavarde623            3              9              5              4              9              9              5              0              1              5              8              
Vardas624            Pavarde624            2              8              8              9              9              1              5              2              1              1              5              
Vardas625            Pavarde625            9              9              3              0              10             8              10             9              4              10             5              
Vardas626            Pavarde626            4              10             0              7              2              10             1              10             10             8              1              
Vardas627            Pavarde627            10             7              6              2              7              8              1              9              9              3              4              
Vardas628            Pavarde628            5              10             2              9              9              4              6              9              9              4              2              
Vardas629            Pavarde629            2              5              8              10             1              8              1              2              8              7              5              
Vardas630            Pavarde630            10             6              10             8              4              0              0              2              1              6              8              
Vardas631            Pavarde631            0              2              8              8              10             9              1              6              4              8              6              
Vardas632            Pavarde632            4              3              2              7              7              1              1              0              7              4              2              
Vardas633            Pavarde633            2              4              1              6              1              5              4              9              2              9              4              
Vardas634            Pavarde634            0              7              3              7              9              2              9              0              7              9              3              
Vardas635            Pavarde635            0              4              7              3              5              8              9              5              0              5              1              
Vardas636            Pavarde636            3              4              5              10             7              5              9              0              6              4              1              
Vardas637            Pavarde637            3              4              10             4              3              1              0              10             9              3              1              
Vardas638            Pavarde638            3              6              4              5              8              0              2              0              4              5              2              
Vardas639            Pavarde639            3              10             10             10             1              6              8              10             0              7              2              
Vardas640            Pavarde640            10             9              7              1              9              7              1              7              9              8              3              
Vardas641            Pavarde641            5              0              4              9              8              9              6              9              3              1              8              
Vardas642            Pavarde642            4              2              4              8              8              8              6              6              4              1              0              
Vardas643            Pavarde643            2              6              5              3              6              2              0              7              8              5              10             
Vardas644            Pavarde644            6              8              3              7              9              7              5              5              7              4              10             
Vardas645            Pavarde645            8              8              8              6              6              4              4              1              9              7              3              
Vardas646            Pavarde646            0              7              4              1              9              0              2              9              5              6              10             
Vardas647            Pavarde647            1              4              2              0              0              8              0              2              10             3              6              
Vardas648            Pavarde648            10             9              7              9              2              7              6              8              0              7              0              
Vardas649            Pavarde649            2              6              1              1              8              5              3              7              3              6              0              
Vardas650            Pavarde650            6              1              3              1              9              4              6              3              7              5              7              
Vardas651            Pavarde651            3              10             0              7              4              2              6              5              0              6              0              
Vardas652            Pavarde652            6              7              1              1              2              1              2              8              8              5              5              
Vardas653            Pavarde653            0              4              7              9              9              1              0              0              7              1              10             
Vardas654            Pavarde654            1              6              6              8              4              4              6              1              4              8              9              
Vardas655            Pavarde655            6              9              3              7              7              8              3              9              2              4              9              
Vardas656            Pavarde656            1              9              0              5              7              7              5              0              4              9              9              
Vardas657            Pavarde657            2              1              6              3              7              0              3              10             10             0              0              
Vardas658            Pavarde658            0              3              4              7              3              3              0              9              3              8              1              
Vardas659            Pavarde659            1              3              0              3              9              8              9              7              1              2              5              
Vardas660            Pavarde660            4              9              2              4              7              0              3              9              0              4              10             
Vardas661            Pavarde661            8              10             0              7              10             5              0              4              3              8              7              
Vardas662            Pavarde662            8              0              0              9              2              5              4              9              4              4              10             
Vardas663            Pavarde663            3              5              1              9              8              10             0              0              10             1              7              
Vardas664            Pavarde664            2              0              9              1              9              9              0              1              2              3              8              
Vardas665            Pavarde665            4              1              4              9              10             0              7              0              1              7              3              
Vardas666            Pavarde666            3              3              9              0              1              4              3              9              2              7              10             
Vardas667            Pavarde667            4              7              1              0              6              9              8              2              10             1              9              
Vardas668            Pavarde668            8              6              2              0              9              5              1              7              1              6              7              
Vardas669            Pavarde669            1              10             8              10             8              1              8              2              1              0              4              
Vardas670            Pavarde670            2              4              6              6              3              6              5              10             5              5              5              
Vardas671            Pavarde671            1              6              0              7              1              7              2              2              10             0              0              
Vardas672            Pavarde672            5              5              8              1              6              8              1              5              10             1              3              
Vardas673            Pavarde673            4              9              3              6              9              0              4              5              2              5              0              
Vardas674            Pavarde674            9              10             2              1              4              3              1              6              7              6              4              
Vardas675            Pavarde675            5              4              7              0              6              5              2              4              0              10             1              
Vardas676            Pavarde676            10             3              0              10             4              2              9              0              9              6              8              
Vardas677            Pavarde677            1              0              7              3              10             9              0              10             3              4              8              
Vardas678            Pavarde678            6              6              0              3              5              6              2              8              7              10             0              
Vardas679            Pavarde679            0              4              9              8              3              9              1              9              8              5              4              
Vardas680            Pavarde680            5              0              10             7              0              1              8              7              1              7              3              
Vardas681            Pavarde681            5              5              10             7              9              5              10             6              6              9              1              
Vardas682            Pavarde682            3              6              3              3              2              10             6              0              4              10             0              
Vardas683            Pavarde683            5              8              0              3              7              9              5              9              1              5              9              
Vardas684            Pavarde684            0              4              9              9              0              2              8              8              3              7              6              
Vardas685            Pavarde685            10             7              4              1              10             2              7              5              8              7              5              
Vardas686            Pavarde686            8              3              7              3              3              10             10             10             3              6              7              
Vardas687            Pavarde687            4              3              5              2              6              0              0              6              8              9              4              
Vardas688            Pavarde688            10             4              6              3              8              4              9              10             9              9              9              
Vardas689            Pavarde689            10             5              6              0              5              7              8              5              8              2              2              
Vardas690            Pavarde690            6              1              9              2              10             2              2              7              1              3              7              
Vardas691            Pavarde691            9              3              7              9              9              7              1              9              0              0              1              
Vardas692            Pavarde692            6              6              5              10             2              8              0              2              6              5              9              
Vardas693            Pavarde693            9              9              8              5              6              6              5              8              0              4              0              
