Vardas                Pavardė             ND1             ND2             ND3             ND4             ND5             ND6             ND7             ND8           Egz.
Vardas6260           Pavarde6260           9              0              9              10             6              2              1              3              0              
Vardas6261           Pavarde6261           6              9              0              8              4              7              3              10             5              
Vardas6262           Pavarde6262           4              10             1              0              4              6              3              6              4              
Vardas6263           Pavarde6263           3              7              7              5              5              8              1              10             5              
Vardas6264           Pavarde6264           10             5              6              7              6              6              1              8              5              
Vardas6265           Pavarde6265           7              5              7              8              4              6              6              4              3              
Vardas6266           Pavarde6266           0              1              8              8              6              1              4              5              7              
Vardas6267           Pavarde6267           3              6              8              1              1              5              6              2              9              
Vardas6268           Pavarde6268           4              3              1              5              0              0              0              8              1              
Vardas6269           Pavarde6269           10             0              6              5              6              9              4              1              2              
Vardas6270           Pavarde6270           10             6              2              8              9              10             5              3              5              
Vardas6271           Pavarde6271           6              8              7              7              0              2              1              2              0              
Vardas6272           Pavarde6272           4              5              1              7              10             8              10             4              2              
Vardas6273           Pavarde6273           4              0              9              6              10             10             6              5              9              
Vardas6274           Pavarde6274           0              6              1              9              3              10             7              9              4              
Vardas6275           Pavarde6275           7              5              8              1              0              10             0              4              2              
Vardas6276           Pavarde6276           2              3              0              10             0              6              7              7              2              
Vardas6277           Pavarde6277           1              8              10             5              3              8              8              7              10             
Vardas6278           Pavarde6278           4              0              8              4              4              9              0              7              9              
Vardas6279           Pavarde6279           7              7              9              1              4              9              1              9              10             
Vardas6280           Pavarde6280           2              4              9              1              7              5              6              9              0              
Vardas6281           Pavarde6281           0              2              6              3              7              10             7              4              10             
Vardas6282           Pavarde6282           3              1              6              4              7              3              10             1              3              
Vardas6283           Pavarde6283           0              3              5              5              10             4              3              3              2              
Vardas6284           Pavarde6284           10             5              1              4              6              10             10             9              3              
Vardas6285           Pavarde6285           3              8              4              5              4              7              0              4              6              
Vardas6286           Pavarde6286           10             4              1              6              7              10             4              2              7              
Vardas6287           Pavarde6287           7              6              3              1              2              1              7              0              2              
Vardas6288           Pavarde6288           0              3              2              7              10             6              10             5              10             
Vardas6289           Pavarde6289           10             0              9              6              0              6              1              3              2              
Vardas6290           Pavarde6290           5              1              3              8              2              0              2              4              1              
Vardas6291           Pavarde6291           6              9              6              8              4              1              8              0              9              
Vardas6292           Pavarde6292           0              6              10             5              2              6              10             6              10             
Vardas6293           Pavarde6293           4              3              7              5              5              5              5              7              1              
Vardas6294           Pavarde6294           7              3              6              8              8              3              2              6              7              
Vardas6295           Pavarde6295           1              4              2              3              9              6              6              1              5              
Vardas6296           Pavarde6296           5              3              7              4              6              1              5              4              10             
Vardas6297           Pavarde6297           1              0              0              1              10             9              8              3              5              
Vardas6298           Pavarde6298           5              6              9              2              7              10             0              7              7              
Vardas6299           Pavarde6299           4              5              0              10             7              10             6              6              9              
Vardas6300           Pavarde6300           1              10             5              10             10             2              1              4              8              
Vardas6301           Pavarde6301           10             3              6              9              8              8              1              0              0              
Vardas6302           Pavarde6302           9              10             10             3              3              5              8              1              5              
Vardas6303           Pavarde6303           6              1              9              0              7              3              2              10             2              
Vardas6304           Pavarde6304           3              0              8              9              3              0              0              0              5              
Vardas6305           Pavarde6305           2              0              5              1              6              3              4              6              5              
Vardas6306           Pavarde6306           1              3              7              7              2              5              0              4              4              
Vardas6307           Pavarde6307           7              8              2              5              5              6              8              6              3              
Vardas6308           Pavarde6308           9              9              1              9              3              7              10             7              5              
Vardas6309           Pavarde6309           2              3              4              6              4              8              4              6              2              
Vardas6310           Pavarde6310           9              7              8              3              10             1              0              6              5              
Vardas6311           Pavarde6311           5              6              1              1              10             7              6              10             7              
Vardas6312           Pavarde6312           5              6              4              2              2              10             8              8              9              
Vardas6313           Pavarde6313           9              2              0              8              10             6              3              0              1              
Vardas6314           Pavarde6314           1              7              2              0              8              3              3              9              6              
Vardas6315           Pavarde6315           8              0              0              1              4              10             9              10             2              
Vardas6316           Pavarde6316           0              4              5              3              3              9              9              2              3              
Vardas6317           Pavarde6317           2              3              9              2              4              6              7              4              1              
Vardas6318           Pavarde6318           0              5              10             9              3              3              3              9              6              
Vardas6319           Pavarde6319           9              4              4              2              9              4              3              8              6              
Vardas6320           Pavarde6320           8              10             9              10             2              0              4              3              7              
Vardas6321           Pavarde6321           4              5              8              10             7              0              2              9              1              
Vardas6322           Pavarde6322           10             1              9              8              5              6              7              7              5              
Vardas6323           Pavarde6323           8              6              3              9              4              1              10             6              2              
Vardas6324           Pavarde6324           5              8              1              3              8              0              2              0              8              
Vardas6325           Pavarde6325           5              3              3              7              3              6              10             9              5              
Vardas6326           Pavarde6326           6              6              5              7              2              8              4              6              3              
Vardas6327           Pavarde6327           4              10             7              6              4              7              2              4              6              
Vardas6328           Pavarde6328           8              6              3              0              5              0              4              8              4              
Vardas6329           Pavarde6329           5              1              5              0              7              8              6              7              7              
Vardas6330           Pavarde6330           0              4              1              10             7              3              2              10             0              
Vardas6331           Pavarde6331           3              8              0              5              1              7              6              5              9              
Vardas6332           Pavarde6332           2              1              6              8              9              2              8              10             7              
Vardas6333           Pavarde6333           7              5              3              7              8              0              8              4              10             
Vardas6334           Pavarde6334           10             7              6              3              1              6              2              3              6              
Vardas6335           Pavarde6335           2              8              0              8              6              10             6              1              3              
Vardas6336           Pavarde6336           5              3              4              10             7              10             2              5              5              
Vardas6337           Pavarde6337           5              10             10             6              0              0              2              8              2              
Vardas6338           Pavarde6338           3              6              7              8              2              6              4              9              1              
Vardas6339           Pavarde6339           8              10             10             3              5              9              7              3              7              
Vardas6340           Pavarde6340           0              10             2              0              8              2              4              10             3              
Vardas6341           Pavarde6341           4              6              1              4              4              4              6              6              0              
Vardas6342           Pavarde6342           4              6              3              10             10             7              10             8              10             
Vardas6343           Pavarde6343           10             0              4              1              2              0              7              3              6              
Vardas6344           Pavarde6344           9              0              7              3              1              6              10             8              8              
Vardas6345           Pavarde6345           8              3              3              6              5              5              0              2              6              
Vardas6346           Pavarde6346           9              9              6              4              3              9              2              0              1              
Vardas6347           Pavarde6347           2              4              3              0              3              6              8              4              4              
Vardas6348           Pavarde6348           10             3              0              6              2              7              7              0              2              
Vardas6349           Pavarde6349           7              2              0              4              6              4              3              10             4              
Vardas6350           Pavarde6350           2              1              9              4              4              8              0              9              6              
Vardas6351           Pavarde6351           5              8              8              2              9              0              2              0              7              
Vardas6352           Pavarde6352           4              6              9              2              5              9              4              4              3              
Vardas6353           Pavarde6353           0              8              9              10             7              1              9              7              3              
Vardas6354           Pavarde6354           4              9              3              1              3              9              2              7              0              
Vardas6355           Pavarde6355           8              0              1              6              0              2              4              9              10             
Vardas6356           Pavarde6356           7              2              6              5              7              9              8              8              1              
Vardas6357           Pavarde6357           0              1              3              2              6              0              8              7              1              
Vardas6358           Pavarde6358           4              7              7              10             0              6              3              7              10             
Vardas6359           Pavarde6359           0              1              5              7              7              9              8              3              5              
Vardas6360           Pavarde6360           5              8              0              4              4              3              10             6              0              
Vardas6361           Pavarde6361           6              2              3              0              0              0              3              7              2              
Vardas6362           Pavarde6362           3              4              9              6              9              5              1              3              2              
Vardas6363           Pavarde6363           5              9              5              4              7              1              0              3              7              
Vardas6364           Pavarde6364           10             8              2              2              5              1              5              0              9              
Vardas6365           Pavarde6365           0              4              5              7              6              10             8              9              2              
Vardas6366           Pavarde6366           8              3              1              7              5              9              4              2              3              
Vardas6367           Pavarde6367           7              9              2              3              3              0              7              4              1              
Vardas6368           Pavarde6368           0              3              5              4              6              0              9              7              4              
Vardas6369           Pavarde6369           2              8              0              8              8              5              9              5              0              
Vardas6370           Pavarde6370           10             7              5              1              9              10             4              3              5              
Vardas6371           Pavarde6371           2              7              2              7              10             2              2              6              2              
Vardas6372           Pavarde6372           6              0              6              9              2              0              4              3              1              
Vardas6373           Pavarde6373           3              3              4              4              7              7              4              5              5              
Vardas6374           Pavarde6374           3              5              1              0              2              10             6              4              10             
Vardas6375           Pavarde6375           7              2              7              0              4              1              0              5              3              
Vardas6376           Pavarde6376           10             5              2              3              5              0              3              7              5              
Vardas6377           Pavarde6377           4              1              7              9              7              9              1              8              10             
Vardas6378           Pavarde6378           0              3              6              10             6              9              0              0              6              
Vardas6379           Pavarde6379           1              8              4              8              9              0              7              9              3              
Vardas6380           Pavarde6380           6              7              0              7              5              2              0              3              0              
Vardas6381           Pavarde6381           1              3              4              8              2              1              0              7              2              
Vardas6382           Pavarde6382           10             4              2              6              0              6              5              5              1              
Vardas6383           Pavarde6383           0              1              4              7              8              5              9              0              5              
Vardas6384           Pavarde6384           5              8              4              4              6              9              9              4              0              
Vardas6385           Pavarde6385           3              1              5              4              5              0              7              9              1              
Vardas6386           Pavarde6386           10             4              0              2              5              4              9              3              8              
Vardas6387           Pavarde6387           0              9              6              9              3              7              3              9              5              
Vardas6388           Pavarde6388           6              4              3              8              0              7              5              3              8              
Vardas6389           Pavarde6389           9              0              3              1              3              2              6              9              3              
Vardas6390           Pavarde6390           10             1              4              7              2              9              1              1              7              
Vardas6391           Pavarde6391           10             5              10             2              2              5              7              8              1              
Vardas6392           Pavarde6392           10             2              2              0              9              7              9              6              4              
Vardas6393           Pavarde6393           7              8              10             1              3              6              8              8              3              
Vardas6394           Pavarde6394           4              10             0              2              6              5              0              6              2              
Vardas6395           Pavarde6395           7              0              8              3              1              6              9              6              8              
Vardas6396           Pavarde6396           5              0              3              4              6              0              3              10             4              
Vardas6397           Pavarde6397           5              6              2              0              10             6              3              6              3              
Vardas6398           Pavarde6398           8              7              2              7              4              6              10             8              10             
Vardas6399           Pavarde6399           8              8              2              10             10             8              8              2              10             
Vardas6400           Pavarde6400           0              3              3              6              7              10             3              8              4              
Vardas6401           Pavarde6401           0              5              2              0              0              5              6              8              1              
Vardas6402           Pavarde6402           9              1              5              10             2              4              0              10             1              
Vardas6403           Pavarde6403           9              10             6              4              3              5              6              1              9              
Vardas6404           Pavarde6404           10             1              10             3              9              8              4              6              9              
Vardas6405           Pavarde6405           3              1              10             5              3              9              3              2              0              
Vardas6406           Pavarde6406           7              2              10             10             6              1              10             0              4              
Vardas6407           Pavarde6407           7              6              6              1              6              6              9              8              7              
Vardas6408           Pavarde6408           9              10             0              9              8              6              9              10             0              
Vardas6409           Pavarde6409           3              1              4              0              10             9              10             0              7              
Vardas6410           Pavarde6410           1              0              1              2              4              9              4              5              8              
Vardas6411           Pavarde6411           2              10             10             8              9              3              2              10             8              
Vardas6412           Pavarde6412           7              2              6              9              8              9              9              2              2              
Vardas6413           Pavarde6413           8              7              5              9              10             3              5              5              7              
Vardas6414           Pavarde6414           2              4              6              8              0              2              8              3              3              
Vardas6415           Pavarde6415           3              1              1              0              3              4              1              10             7              
Vardas6416           Pavarde6416           8              2              8              5              10             6              10             10             0              
Vardas6417           Pavarde6417           7              2              0              3              4              9              10             0              4              
Vardas6418           Pavarde6418           0              9              8              4              6              4              3              5              7              
Vardas6419           Pavarde6419           7              6              4              7              4              5              8              1              3              
Vardas6420           Pavarde6420           6              9              3              1              4              7              4              10             3              
Vardas6421           Pavarde6421           10             7              3              6              6              8              5              7              3              
Vardas6422           Pavarde6422           8              6              9              9              3              2              4              8              3              
Vardas6423           Pavarde6423           10             9              2              8              6              2              2              2              2              
Vardas6424           Pavarde6424           5              4              4              0              10             6              1              4              2              
Vardas6425           Pavarde6425           8              5              8              3              2              5              0              0              7              
Vardas6426           Pavarde6426           2              1              0              8              4              0              4              9              1              
Vardas6427           Pavarde6427           0              10             8              9              9              4              4              3              5              
Vardas6428           Pavarde6428           1              9              6              7              7              2              6              0              2              
Vardas6429           Pavarde6429           9              2              2              5              6              0              8              2              10             
Vardas6430           Pavarde6430           6              0              4              5              6              8              9              1              2              
Vardas6431           Pavarde6431           5              6              1              10             5              2              10             3              2              
Vardas6432           Pavarde6432           4              10             6              2              2              5              0              4              2              
Vardas6433           Pavarde6433           4              8              8              6              10             3              8              1              9              
Vardas6434           Pavarde6434           3              10             0              5              4              6              7              4              6              
Vardas6435           Pavarde6435           2              5              7              0              8              10             6              8              3              
Vardas6436           Pavarde6436           5              2              10             7              10             8              9              6              8              
Vardas6437           Pavarde6437           4              1              0              2              5              9              5              6              5              
Vardas6438           Pavarde6438           0              10             5              1              1              7              10             3              10             
Vardas6439           Pavarde6439           4              4              5              10             5              0              10             1              2              
Vardas6440           Pavarde6440           6              1              7              8              6              8              4              10             8              
Vardas6441           Pavarde6441           6              0              1              6              0              7              4              1              3              
Vardas6442           Pavarde6442           9              10             9              0              0              5              7              6              7              
Vardas6443           Pavarde6443           0              2              4              2              8              4              5              7              8              
Vardas6444           Pavarde6444           10             5              3              6              3              7              0              0              1              
Vardas6445           Pavarde6445           3              9              5              6              8              2              2              2              1              
Vardas6446           Pavarde6446           0              4              6              1              3              4              10             10             3              
Vardas6447           Pavarde6447           8              1              1              7              5              0              0              1              2              
Vardas6448           Pavarde6448           5              2              0              1              2              8              3              0              1              
Vardas6449           Pavarde6449           7              8              0              8              6              4              0              3              7              
Vardas6450           Pavarde6450           6              10             2              7              3              4              6              8              7              
Vardas6451           Pavarde6451           7              7              7              1              0              2              9              2              8              
Vardas6452           Pavarde6452           10             0              5              3              7              6              8              0              7              
Vardas6453           Pavarde6453           1              5              5              4              9              9              9              2              1              
Vardas6454           Pavarde6454           5              1              7              7              2              5              6              2              9              
Vardas6455           Pavarde6455           6              3              9              1              9              3              0              10             10             
Vardas6456           Pavarde6456           1              9              5              10             6              1              7              0              1              
Vardas6457           Pavarde6457           2              2              9              5              7              2              3              2              7              
Vardas6458           Pavarde6458           4              5              0              1              10             1              1              5              1              
Vardas6459           Pavarde6459           8              5              7              1              4              0              3              10             0              
Vardas6460           Pavarde6460           9              4              5              0              6              5              3              8              3              
Vardas6461           Pavarde6461           4              5              5              1              8              8              0              2              7              
Vardas6462           Pavarde6462           8              2              1              2              2              0              0              7              6              
Vardas6463           Pavarde6463           8              8              7              3              3              5              3              1              10             
Vardas6464           Pavarde6464           4              4              2              2              4              7              3              7              8              
Vardas6465           Pavarde6465           1              7              3              10             1              7              10             4              4              
Vardas6466           Pavarde6466           8              0              7              9              8              1              10             2              6              
Vardas6467           Pavarde6467           1              10             4              10             5              10             1              4              10             
Vardas6468           Pavarde6468           1              2              9              7              4              6              9              10             0              
Vardas6469           Pavarde6469           8              1              3              5              5              2              10             10             10             
Vardas6470           Pavarde6470           0              2              8              0              5              1              3              6              9              
Vardas6471           Pavarde6471           0              5              2              10             0              7              3              5              8              
Vardas6472           Pavarde6472           3              10             6              8              1              1              2              0              10             
Vardas6473           Pavarde6473           5              1              2              7              9              3              1              6              0              
Vardas6474           Pavarde6474           8              3              8              9              3              10             10             5              3              
Vardas6475           Pavarde6475           4              9              1              4              2              3              2              6              3              
Vardas6476           Pavarde6476           9              1              9              7              0              4              7              6              8              
Vardas6477           Pavarde6477           4              1              0              4              1              8              7              1              5              
Vardas6478           Pavarde6478           0              5              1              5              9              10             1              3              10             
Vardas6479           Pavarde6479           6              2              6              7              0              2              9              1              10             
Vardas6480           Pavarde6480           5              10             10             10             10             2              5              10             7              
Vardas6481           Pavarde6481           0              0              7              6              5              7              4              6              6              
Vardas6482           Pavarde6482           7              10             5              3              4              7              5              3              4              
Vardas6483           Pavarde6483           4              4              10             3              5              9              9              6              7              
Vardas6484           Pavarde6484           5              3              0              4              7              6              0              8              0              
Vardas6485           Pavarde6485           3              1              6              4              5              8              3              8              1              
Vardas6486           Pavarde6486           3              4              3              4              7              1              5              5              2              
Vardas6487           Pavarde6487           7              10             2              5              5              6              8              7              9              
Vardas6488           Pavarde6488           8              2              5              4              8              0              4              10             5              
Vardas6489           Pavarde6489           6              3              8              6              7              8              5              6              8              
Vardas6490           Pavarde6490           4              10             4              0              5              4              2              9              9              
Vardas6491           Pavarde6491           9              9              2              0              9              0              8              1              9              
Vardas6492           Pavarde6492           6              10             5              0              8              1              2              1              5              
Vardas6493           Pavarde6493           6              8              2              7              0              0              7              2              7              
Vardas6494           Pavarde6494           3              4              6              6              1              3              3              9              5              
Vardas6495           Pavarde6495           6              1              9              5              0              8              0              8              5              
Vardas6496           Pavarde6496           2              10             10             6              2              5              8              10             5              
Vardas6497           Pavarde6497           1              8              1              5              4              2              8              8              3              
Vardas6498           Pavarde6498           6              9              4              2              8              1              1              8              2              
Vardas6499           Pavarde6499           0              4              9              9              10             9              0              1              8              
Vardas6500           Pavarde6500           6              6              9              9              2              9              4              9              4              
Vardas6501           Pavarde6501           8              0              7              6              0              1              8              5              9              
Vardas6502           Pavarde6502           3              3              8              5              8              2              5              8              4              
Vardas6503           Pavarde6503           9              9              9              1              3              4              2              7              2              
Vardas6504           Pavarde6504           3              7              9              10             4              10             8              9              3              
Vardas6505           Pavarde6505           10             1              3              10             9              1              4              1              7              
Vardas6506           Pavarde6506           5              10             9              7              5              8              9              7              0              
Vardas6507           Pavarde6507           10             8              10             5              9              7              10             8              4              
Vardas6508           Pavarde6508           1              7              8              10             4              2              4              2              3              
Vardas6509           Pavarde6509           1              10             6              0              3              0              4              6              4              
Vardas6510           Pavarde6510           1              10             6              7              8              10             9              10             0              
Vardas6511           Pavarde6511           8              0              8              1              1              3              7              1              3              
